	gauge_id	A	TIA     Region	Q2	Q5	Q10	Q25	Q50	Q100	Q500	HCIU(n)	HCIU(CN)
1	01613900	41.3	10.59	VA	24.3	46.5	64.6	90.7	112.4	135.9	197.7	0.177	0.601
2	01615000	150.6	18.78	VA	67.3	125.1	174.7	251.3	319.1	397.0	622.4	0.468	0.645
3	01616000	44.0	55.88	VA	15.3	26.4	35.3	48.3	59.2	71.1	103.5	0.669	0.689
4	01621450	1.7	15.41	VA	1.3	2.4	3.6	5.7	7.9	10.7	20.7	0.514	0.693
5	01623000	1.7	14.05	VA	0.3	2.0	6.9	27.3	70.3	170.3	1133.8	0.464	0.643
6	01623500	10.0	18.99	VA	1.1	4.4	9.8	25.1	48.0	88.6	334.1	0.487	0.689
7	01624800	189.1	15.15	VA	71.5	121.9	162.2	221.2	271.2	326.2	477.4	0.480	0.663
8	01625000	965.4	13.51	VA	165.0	318.8	451.4	655.3	834.8	1038.9	1622.0	0.439	0.648
9	01626000	328.7	11.22	VA	76.1	165.0	255.5	417.4	581.3	790.6	1514.1	0.294	0.620
10	01626500	345.7	13.66	VA	92.9	199.3	299.6	466.1	622.4	809.3	1387.0	0.319	0.625
11	01626850	382.7	15.6	VA	113.5	239.5	361.6	571.2	774.7	1025.4	1843.1	0.319	0.627
12	01627500	548.2	14.84	VA	152.9	318.0	464.7	694.6	899.6	1133.8	1807.2	0.314	0.628
13	01628500	2795.4	11.65	VA	466.9	902.2	1303.1	1964.3	2586.7	3335.7	5697.3	0.370	0.633
14	01629500	3554.2	10.97	VA	552.2	1078.0	1575.0	2414.0	3222.5	4213.5	7438.8	0.342	0.628
15	01631000	4232.8	10.55	VA	590.4	1153.3	1675.2	2539.5	3355.5	4341.0	7455.8	0.320	0.626
16	01636210	36.3	10.71	VA	21.0	34.9	46.6	64.4	80.1	98.1	150.4	0.178	0.607
17	0163626650	29.1	15.52	VA	15.9	20.1	22.8	26.2	28.7	31.1	37.0	0.188	0.603
18	01638350	81.9	10.48	VA	48.9	118.7	194.3	336.1	485.4	680.7	1148.8	0.465	0.617
19	01643805	98.7	11.39	VA	128.5	296.5	469.2	778.4	1089.9	1484.7	2827.7	0.460	0.608
20	01644280	197.2	38.7	VA	148.0	186.2	212.2	245.9	271.8	298.2	363.3	0.571	0.644
21	01644290	0.2	91.4	VA	0.2	0.8	1.9	5.0	9.7	18.2	71.0	0.933	0.998
22	01644291	0.2	91.43	VA	2.9	4.7	6.2	8.6	10.8	13.4	21.3	0.948	0.869
23	01644295	0.9	75.03	VA	2.3	4.8	7.2	11.3	15.2	20.1	35.9	0.664	0.712
24	01644300	8.8	81.35	VA	10.6	14.7	17.8	22.0	25.5	29.2	39.0	0.768	0.724
25	01645700	11.3	47.91	VA	13.8	21.1	26.4	33.7	39.6	45.8	61.7	0.464	0.647
26	01645750	4.1	24.68	VA	2.9	5.0	6.7	9.6	12.2	15.3	25.0	0.239	0.595
